alpha,beta,gama
-4.101268078722027e-05,-6.783008228407958e-05,1.065264372536987e-06
-3.994741228752724e-05,-6.628036033511457e-05,1.065264372536987e-06
-3.8882147851495544e-05,-6.484984995496451e-05,1.065264372536987e-06
-3.781688747912518e-05,-6.341933957481445e-05,1.065264372536987e-06
-3.675161897943216e-05,-6.198882919466439e-05,1.065264372536987e-06
-3.568635454340046e-05,-6.0677526319667945e-05,1.065264372536987e-06
-3.5153726389045946e-05,-5.93662234446715e-05,1.065264372536987e-06
-3.4088459921183586e-05,-5.793571306452144e-05,1.065264372536987e-06
-3.3023193453321225e-05,-5.674361769467861e-05,1.065264372536987e-06
-3.2490565298966704e-05,-5.555152638849712e-05,1.065264372536987e-06
-3.1425298831104344e-05,-5.435943508231562e-05,1.065264372536987e-06
-3.0892666613088495e-05,-5.3167339712472794e-05,1.065264372536987e-06
-3.036003439507265e-05,-5.19752484062913e-05,1.065264372536987e-06
-2.9294769959040953e-05,-5.0783153036448475e-05,1.065264372536987e-06
-2.876213774102511e-05,-4.9710269235420596e-05,1.065264372536987e-06
-2.822950552300926e-05,-4.85181779292391e-05,1.065264372536987e-06
-2.7164241086977563e-05,-4.756450569702617e-05,1.065264372536987e-06
-2.6631608868961715e-05,-4.6491621895998294e-05,1.065264372536987e-06
-2.609897665094587e-05,-4.553794560012403e-05,1.065264372536987e-06
-2.556634646476069e-05,-4.446506179909615e-05,1.065264372536987e-06
-2.5033712214914173e-05,-4.351138956688322e-05,1.065264372536987e-06
-2.4501079996898325e-05,-4.255771327100896e-05,1.065264372536987e-06
-2.3968449810713143e-05,-4.160404103879603e-05,1.065264372536987e-06
-2.343581556086663e-05,-4.076957631173672e-05,1.065264372536987e-06
-2.2903183342850783e-05,-3.981590001586245e-05,1.065264372536987e-06
-2.23705531566656e-05,-3.898143528880314e-05,1.065264372536987e-06
-2.1837918906819086e-05,-3.814697056174383e-05,1.065264372536987e-06
-2.130528668880324e-05,-3.7312505834684514e-05,1.065264372536987e-06
-2.0772656502618056e-05,-3.64780411076252e-05,1.065264372536987e-06
-2.0240022252771545e-05,-3.564357638056589e-05,1.065264372536987e-06
-2.0240022252771545e-05,-3.564357638056589e-05,1.065264372536987e-06
-2.0240022252771545e-05,-3.564357638056589e-05,1.065264372536987e-06
-2.0240022252771545e-05,-3.5405157306597324e-05,1.065264372536987e-06
-2.0240022252771545e-05,-3.5166738232628756e-05,1.065264372536987e-06
-1.9707390034755696e-05,-3.504753072747514e-05,1.065264372536987e-06
-1.9707390034755696e-05,-3.4809111653506575e-05,1.065264372536987e-06
-1.9707390034755696e-05,-3.4451481010723066e-05,1.065264372536987e-06
-1.9707390034755696e-05,-3.421306600041583e-05,1.065264372536987e-06
-1.9174759848570515e-05,-3.3855435357632317e-05,1.065264372536987e-06
-1.9174759848570515e-05,-3.3497808778510135e-05,1.065264372536987e-06
-1.9174759848570515e-05,-3.314018016755728e-05,1.065264372536987e-06
-1.8642125598724003e-05,-3.27825535884351e-05,1.065264372536987e-06
-1.8642125598724003e-05,-3.2424924977482256e-05,1.065264372536987e-06
-1.8642125598724003e-05,-3.194808682954513e-05,1.065264372536987e-06
-1.8109493380708154e-05,-3.159046025042294e-05,1.065264372536987e-06
-1.8109493380708154e-05,-3.111362210248581e-05,1.065264372536987e-06
-1.7576863194522973e-05,-3.075599552336363e-05,1.065264372536987e-06
-1.7576863194522973e-05,-3.0159947838442215e-05,1.065264372536987e-06
-1.7044229960591793e-05,-2.9802321259320033e-05,1.065264372536987e-06
-1.7044229960591793e-05,-2.9325483111382904e-05,1.065264372536987e-06
-1.7044229960591793e-05,-2.8848646995276438e-05,1.065264372536987e-06
-1.6511596726660613e-05,-2.849101838432359e-05,1.065264372536987e-06
-1.6511596726660613e-05,-2.8014182268217124e-05,1.065264372536987e-06
-1.5978966540475428e-05,-2.7537344120279995e-05,1.065264372536987e-06
-1.5978966540475428e-05,-2.706050800417353e-05,1.065264372536987e-06
-1.5446333306544248e-05,-2.6583669856236397e-05,1.065264372536987e-06
-1.5446333306544248e-05,-2.610683374012993e-05,1.065264372536987e-06
-1.4913701088528401e-05,-2.5629995592192802e-05,1.065264372536987e-06
-1.4913701088528401e-05,-2.527236901307062e-05,1.065264372536987e-06
-1.4913701088528401e-05,-2.4795530865133488e-05,1.065264372536987e-06
-1.4381068870512554e-05,-2.431869271719636e-05,1.065264372536987e-06
-1.4381068870512554e-05,-2.3841856601089893e-05,1.065264372536987e-06
-1.3848436652496706e-05,-2.3484227990137044e-05,1.065264372536987e-06
-1.3848436652496706e-05,-2.300739187403058e-05,1.065264372536987e-06
-1.3315804434480857e-05,-2.253055372609345e-05,1.065264372536987e-06
-1.3315804434480857e-05,-2.2172927146971268e-05,1.065264372536987e-06
-1.2783173232380344e-05,-2.1696088999034136e-05,1.065264372536987e-06
-1.2783173232380344e-05,-2.1338462419911954e-05,1.065264372536987e-06
-1.2783173232380344e-05,-2.0861624271974825e-05,1.065264372536987e-06
-1.2250539998449162e-05,-2.0503995661021976e-05,1.065264372536987e-06
-1.2250539998449162e-05,-2.0146369081899795e-05,1.065264372536987e-06
-1.1717907780433316e-05,-1.9669530933962662e-05,1.065264372536987e-06
-1.1717907780433316e-05,-1.931190435484048e-05,1.065264372536987e-06
-1.1717907780433316e-05,-1.8954275743887632e-05,1.065264372536987e-06
-1.11852765783328e-05,-1.8596647132934783e-05,1.065264372536987e-06
-1.11852765783328e-05,-1.8119811016828318e-05,1.065264372536987e-06
-1.11852765783328e-05,-1.7762182405875472e-05,1.065264372536987e-06
-1.065264334440162e-05,-1.7404555826753287e-05,1.065264372536987e-06
-1.065264334440162e-05,-1.704692721580044e-05,1.065264372536987e-06
-1.0120011126385772e-05,-1.680850915774721e-05,1.065264372536987e-06
-1.0120011126385772e-05,-1.6450881562709693e-05,1.065264372536987e-06
-1.0120011126385772e-05,-1.6093252951756844e-05,1.065264372536987e-06
-9.587379924285257e-06,-1.573562535671933e-05,1.065264372536987e-06
-9.587379924285257e-06,-1.5377997761681814e-05,1.065264372536987e-06
-9.587379924285257e-06,-1.513957868771325e-05,1.065264372536987e-06
-9.054746690354077e-06,-1.4781951092675734e-05,1.065264372536987e-06
-9.054746690354077e-06,-1.4543533034622501e-05,1.065264372536987e-06
-9.054746690354077e-06,-1.406669488668537e-05,1.065264372536987e-06
-8.522114980295896e-06,-1.394748636561642e-05,1.065264372536987e-06
-8.522114980295896e-06,-1.3589858770578905e-05,1.065264372536987e-06
-8.522114980295896e-06,-1.335143969661034e-05,1.065264372536987e-06
-7.989483270237714e-06,-1.2993812101572825e-05,1.065264372536987e-06
-7.989483270237714e-06,-1.2755393027604259e-05,1.065264372536987e-06
-7.989483270237714e-06,-1.2397765432566744e-05,1.065264372536987e-06
-7.989483270237714e-06,-1.2278555895582462e-05,1.065264372536987e-06
-7.4568505442642005e-06,-1.1920928300544947e-05,1.065264372536987e-06
-7.4568505442642005e-06,-1.1682510242491714e-05,1.065264372536987e-06
-7.4568505442642005e-06,-1.1444091168523149e-05,1.065264372536987e-06
-6.924218326248353e-06,-1.1205672094554583e-05,1.065264372536987e-06
-6.924218326248353e-06,-1.0967254036501352e-05,1.065264372536987e-06
-6.924218326248353e-06,-1.0728835978448119e-05,1.065264372536987e-06
-6.924218326248353e-06,-1.0490416904479553e-05,1.065264372536987e-06
-6.391586616190172e-06,-1.0251997830510988e-05,1.065264372536987e-06
-6.391586616190172e-06,-1.0132789309442038e-05,1.065264372536987e-06
-6.391586616190172e-06,-9.894370235473473e-06,1.065264372536987e-06
-6.391586616190172e-06,-9.65595217742024e-06,1.065264372536987e-06
-6.391586616190172e-06,-9.417533103451674e-06,1.065264372536987e-06
-5.858953890216658e-06,-9.298323566467392e-06,1.065264372536987e-06
-5.858953890216658e-06,-9.059905508414159e-06,1.065264372536987e-06
-5.858953890216658e-06,-8.821487450360928e-06,1.065264372536987e-06
-5.858953890216658e-06,-8.702277913376644e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.463858839408079e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.463858839408079e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.463858839408079e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.463858839408079e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.463858839408079e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.463858839408079e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.344649810381463e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.344649810381463e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.344649810381463e-06,1.065264372536987e-06
-5.32632167220081e-06,-8.344649810381463e-06,1.065264372536987e-06
-5.32632167220081e-06,-7.987021707386282e-06,1.065264372536987e-06
-5.32632167220081e-06,-7.987021707386282e-06,1.065264372536987e-06
-5.32632167220081e-06,-7.867812678359665e-06,1.065264372536987e-06
-5.32632167220081e-06,-7.867812678359665e-06,1.065264372536987e-06
-5.32632167220081e-06,-7.629394112348766e-06,1.065264372536987e-06
-5.32632167220081e-06,-7.629394112348766e-06,1.065264372536987e-06
-4.793689962142629e-06,-7.390975546337867e-06,1.065264372536987e-06
-4.793689962142629e-06,-7.390975546337867e-06,1.065264372536987e-06
-4.793689962142629e-06,-7.271766517311251e-06,1.065264372536987e-06
-4.793689962142629e-06,-7.271766517311251e-06,1.065264372536987e-06
-4.793689962142629e-06,-7.271766517311251e-06,1.065264372536987e-06
-4.793689962142629e-06,-6.914138414316069e-06,1.065264372536987e-06
-4.793689962142629e-06,-6.914138414316069e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.67571984830517e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.67571984830517e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.4373012822942715e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.4373012822942715e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.198882716283372e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.198882716283372e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.07967317929909e-06,1.065264372536987e-06
-4.261057490147948e-06,-6.07967317929909e-06,1.065264372536987e-06
-4.261057490147948e-06,-5.7220455842615746e-06,1.065264372536987e-06
-4.261057490147948e-06,-5.7220455842615746e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.6028360472772914e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.6028360472772914e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.3644179892240595e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.3644179892240595e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.245208452239776e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.245208452239776e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.006789886228878e-06,1.065264372536987e-06
-3.7284252721321002e-06,-5.006789886228878e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.768371320217979e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.768371320217979e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.649161783233696e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.649161783233696e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.649161783233696e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.410743725180464e-06,1.065264372536987e-06
-3.195793308095086e-06,-4.410743725180464e-06,1.065264372536987e-06
